Имя пользователя,Ссылка,Время,Текст,Хэштеги
Алексей,@_Denver79,21 апр. 2020 г.,"мда.. Цирк, а не карантин ",
ppfood,@ppfoodru,21 апр. 2020 г.,Песков прокомментировал борьбу с COVID-19 в регионах РФ - http://ppfood.ru/peskov-prokommentiroval-borbu-s-covid-19-v-regionax-rf/…,
InterMax,@IntermaxFun,21 апр. 2020 г.,"Шмыгаль доложил президенту, что пик заболеваемости COVID-19 ожидается в начале мая https://intermax.fun/shmygal-dolozhil-prezidentu-chto-pik-zabolevaemosti-covid-19-ozhidaetsya-v-nachale-maya/…",
один в поле не номер,@freedomcry,21 апр. 2020 г.,В ответ ,
Совершенно Cекретно,@SovSekretno,21 апр. 2020 г.,"Чему надо странам учиться у «тоталитарного» Китая в борьбе с COVID-19, читайте в материале «Совершенно секретно»",
Олег Соловьев,@soloviev66,21 апр. 2020 г.,"Чему надо странам учиться у «тоталитарного» Китая в борьбе с COVID-19, читайте в материале «Совершенно секретно»",
RuNews24.ru Новости,@runews24ru,21 апр. 2020 г.,Вирусолог сравнил пандемию коронавируса и эпидемию Эбола,
Аяз Арзыматов,@Ayaz_Arz,21 апр. 2020 г.,"Турция ,Армения ,Грузия ,Горы ",
Смоленская область,@press_smolobl,21 апр. 2020 г.,О внесении изменений в Указ Губернатора Смоленской области «О введении режима повышенной готовности»,
Лучи Бобра,@Max82206006,21 апр. 2020 г.,В ответ ,
Город Днепр,@dneprcity,21 апр. 2020 г.,Шмыгаль - Зеленскому: пик заболеваемости COVID-19 ожидается в начале мая - https://dneprcity.net/politics/shmygal-zelenskomu-pik-zabolevaemosti-covid-19-ozhidaetsya-v-nachale-maya/… #Днепр #Дніпро,
KonstantiN,@REFLEXiON_ONLY,21 апр. 2020 г.,"Известный математик о том, почему пандемия COVID-19 — это лишь репетиция бактериологической войны и каким будет мир после...",
25% - Roman,@Wh0Know5,21 апр. 2020 г.,Кремль готовится к худшему: холодильник начинает побеждать телевизор https://youtu.be/0X9KvE5BD04 через ,
News.mn,@News_mn,21 апр. 2020 г.,"""COVID-19""-ийн улмаас УБТЗ хөрөнгө оруулалтаа 40 хувиар танажээ https://news.mn/r/2290052/?utm_source=twitter&utm_medium=social&utm_campaign=News.MN+Twitter…",
Чикен нагенс,@shutupiamgod,21 апр. 2020 г.,Фото в цвете: бригада СМП едет на вызов к пациенту с covid-19,
bitmakler.io,@bitmaklerio,21 апр. 2020 г.,Компания MicroBT выпустила свою серию майнеров со скоростью 100 TH/s. Кажется это начало конкурентной борьбы компании с Bitmain.  #Bitcoin #Bitmain #COVID19 #Hashrate #M30 #MicroBT #mining #MS30S+ #MS30S++ #S19PRO #S7 #S9 https://bitmakler.io/poyavilos-novoe-oborudovanie-dlya-majninga-bitkoina/…,#covid #covid19
Pulsing Org,@FundPulsing,21 апр. 2020 г.,Технология CRISPR мобилизована для быстрой диагностики COVID-19 http://shop.pulsing.org/tehnologiya-crispr-mobilizovana-dlya-bystroj-diagnostiki-covid-19/…,
Wayk Dalsky,@Wayk07,21 апр. 2020 г.,"По словам Гинцбурга, специалисты центра проанализировали около 200 сывороток крови, взятых у людей, переболевших COVID-19. ",
Росбалт,@rosbaltru,21 апр. 2020 г.,,
Vyacheslav Boyko,@bvn13,21 апр. 2020 г.,Добавил в графики дельты по показателям #covid #covid19 #covid19russia http://covid19.bvn13.com,#covid #covid19
Газета.Ru,@GazetaRu,21 апр. 2020 г.,,
24topkz,@24topkz,21 апр. 2020 г.,В Северной Осетии прогнозируют рост числа зараженных COVID-19 после митинга http://24top.kz/incidents/v-severnoj-osetii-prognozirujut-rost-chisla-zarazhennyh-covid-19-posle-mitinga/…,
ИА Регион-центр,@region_center,21 апр. 2020 г.,В Рязанской области ушли из жизни два человека подтвержденным COVID-19,
paranormal-news,@paranormnews,21 апр. 2020 г.,Коронавирус мог перейти людям от огромных бамбуковых крыс #крыса #китай #коронавирус http://paranormal-news.ru/news/koronavirus_mog_perejti_ljudjam_ot_ogromnykh_bambukovykh_krys/2020-04-21-16820…,#коронавирус
Мир 24,@Mir24TV,21 апр. 2020 г.,На 22 и 23 апреля для вывоза россиян из Бангкока запланированы три рейса,
Годами проверенная наивность,@Tanuf_ka_,21 апр. 2020 г.,Рубрика: Must have апреля,
Мир 24,@Mir24TV,21 апр. 2020 г.,В Узбекистане запустят процесс смягчения карантинных мер. Президент Мирзиеев распорядился сделать это в ряде регионов для восстановления экономики страны.,
Anna,@_auslanderin,21 апр. 2020 г.,Итоги дня в Германии: ,
Expat,@LonelyExpat_,21 апр. 2020 г.,"Вирусы на основе РНК, такие как SARS-CoV-2 -вызывающие заболевание COVID-19 заражённый им вырабатывает  антитела в первые три недели эта защита длится только несколько месяцев",
Павел Шугайло,@PavelShugailo49,21 апр. 2020 г.,"""Делай, как мы!"" Как белорусы помогают врачам в борьбе с COVID-19 https://youtu.be/LarhkBcLtCw с помощью ",
LVPapy,@LVPapy,21 апр. 2020 г.,"И про #стандарты интересная тз..Только учет всех проф.тз. может дать ответ и путь решения наиболее оптимальный?)( Игорь Алексеевич уже неоднократно заявлял в #СМИ о том, что ..и для борьбы с #пандемия было бы вполне достаточно общих рекомендаций, как и при любых #ОРВИ.Но, посколь",#пандемия
Андрей Отинов,@Otinoff,21 апр. 2020 г.,Заболел коронавирусом начальник Генерального штаба Италии https://onff.ru/?p=1017&utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost… #италия #коронавирус,#коронавирус
УМВД Приморья,@primuvd,21 апр. 2020 г.,Госавтоинспекция Приморья информирует о состоянии аварийности в период режима самоизоляции https://25.мвд.рф/news/item/2001--p1ai/news/item/20011397…,
Анастасия Курбатова,@anastasiackurba,21 апр. 2020 г.,"За последние сутки в мире зарегистрировано 65.5 тысяч новых случаев COVID-19, умерли 5,102 больных http://dlvr.it/RV7hmR",
РИА Новости,@rianru,21 апр. 2020 г.,,
LVPapy,@LVPapy,21 апр. 2020 г.,"Тоже #интересно #точка_зрения #COVID19 #Гундаров И.А.— д.м.н, специалист в области эпидемиологии и профилактической медицины,#демографии, социальной психологии, философии, главный научный сотрудник НИИ #общественного_здоровья и здравоохранением Московской",#covid #covid19
IBTimes.ru,@IbtimesRUS,21 апр. 2020 г.,В ЦНИИ эпидемиологии назвали примерные даты выхода на пик заболеваемости COVID-19 в России,
Checheninfo,@Checheninfo,21 апр. 2020 г.,ЧЕЧНЯ. Более 400 медработников ЧР пройдут обучение по оказанию помощи больным с COVID-19.,
Вести 365 Новости,@twit48aa,21 апр. 2020 г.,"Мишустин заявил, что на Камчатке плохо осваивают деньги на борьбу с COVID-19 https://goo.gl/fb/sGhdkn",
Alexey,@Alekzzzzz,21 апр. 2020 г.,Сингапур резко рванул вверх по заболеваемости COVID-19 - а сначала их хвалили за эффективный карантин,
Белновости,@BelnovostiBy,21 апр. 2020 г.,"Названы грозные симптомы COVID-19, при которых обязательно нужно вызвать скорую",
MIGnews,@mignewsfeed,21 апр. 2020 г.,COVID-19: мировые звезды спели в поддержку медиков:,
Verenwolf,@roadnether,21 апр. 2020 г.,"Не понимаю большинства воплей о covid-19. Темп распространения в РФ снижается, и я не о сегодняшних десяти процентах, а о пятнадцати на предыдущей неделе (до того было 20+). Я не знаю и боюсь предполагать, что будет дальше, мне просто непонятно, как взрослые люди умудряются",
Misha Komadovsky,@komadovsky,21 апр. 2020 г.,Губернатор Мэриленда ,
